Linux 5.4.0-65-generic (wenxin-ThinkPad-X1-Carbon-4th) 	02/25/2021 	_x86_64_	(4 CPU)

04:49:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:49:40 PM  1000     25466    1.00    0.00    0.00    0.00    1.00     3  nodelet
04:49:41 PM  1000     25466    0.00    1.00    0.00    0.00    1.00     3  nodelet
04:49:42 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     2  nodelet
04:49:43 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     2  nodelet
04:49:44 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     3  nodelet
04:49:45 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     3  nodelet
04:49:46 PM  1000     25466   84.00    2.00    0.00    0.00   86.00     3  nodelet
04:49:47 PM  1000     25466   30.00    5.00    0.00    0.00   35.00     0  nodelet
04:49:48 PM  1000     25466   27.00    5.00    0.00    0.00   32.00     0  nodelet
04:49:49 PM  1000     25466   29.00    3.00    0.00    0.00   32.00     0  nodelet
04:49:50 PM  1000     25466   30.00    3.00    0.00    0.00   33.00     0  nodelet
04:49:51 PM  1000     25466   25.00    3.00    0.00    0.00   28.00     0  nodelet
04:49:52 PM  1000     25466   22.00    3.00    0.00    0.00   25.00     0  nodelet
04:49:53 PM  1000     25466   16.00    4.00    0.00    0.00   20.00     1  nodelet
04:49:54 PM  1000     25466   17.00    3.00    0.00    0.00   20.00     1  nodelet
04:49:55 PM  1000     25466   15.84    3.96    0.00    0.00   19.80     2  nodelet
04:49:56 PM  1000     25466   20.20    3.03    0.00    0.00   23.23     1  nodelet
04:49:57 PM  1000     25466   17.00    4.00    0.00    0.00   21.00     1  nodelet
04:49:58 PM  1000     25466   19.80    3.96    0.00    0.00   23.76     0  nodelet
04:49:59 PM  1000     25466   19.00    4.00    0.00    0.00   23.00     1  nodelet
04:50:00 PM  1000     25466   21.00    2.00    0.00    0.00   23.00     3  nodelet
04:50:01 PM  1000     25466   20.00    2.00    0.00    0.00   22.00     3  nodelet
04:50:02 PM  1000     25466   22.00    2.00    0.00    0.00   24.00     3  nodelet
04:50:03 PM  1000     25466   21.00    3.00    0.00    0.00   24.00     3  nodelet
04:50:04 PM  1000     25466   23.00    2.00    0.00    0.00   25.00     3  nodelet
04:50:05 PM  1000     25466   18.00    4.00    0.00    0.00   22.00     1  nodelet
04:50:06 PM  1000     25466   21.00    1.00    0.00    0.00   22.00     1  nodelet
04:50:07 PM  1000     25466   20.00    3.00    0.00    0.00   23.00     1  nodelet
04:50:08 PM  1000     25466   18.00    3.00    0.00    0.00   21.00     3  nodelet
04:50:09 PM  1000     25466   21.00    1.00    0.00    0.00   22.00     3  nodelet
04:50:10 PM  1000     25466   21.00    2.00    0.00    0.00   23.00     3  nodelet
04:50:11 PM  1000     25466   22.00    3.00    0.00    0.00   25.00     1  nodelet
04:50:12 PM  1000     25466   18.00    2.00    0.00    0.00   20.00     3  nodelet
04:50:13 PM  1000     25466   19.00    4.00    0.00    0.00   23.00     3  nodelet
04:50:14 PM  1000     25466   22.00    0.00    0.00    0.00   22.00     3  nodelet
04:50:15 PM  1000     25466   18.00    4.00    0.00    0.00   22.00     0  nodelet
04:50:16 PM  1000     25466   17.00    4.00    0.00    0.00   21.00     1  nodelet
04:50:17 PM  1000     25466   23.00    2.00    0.00    0.00   25.00     1  nodelet
04:50:18 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     1  nodelet
04:50:19 PM  1000     25466   19.00    5.00    0.00    0.00   24.00     2  nodelet
04:50:20 PM  1000     25466   20.00    2.00    0.00    0.00   22.00     1  nodelet
04:50:21 PM  1000     25466   16.00    4.00    0.00    0.00   20.00     0  nodelet
04:50:22 PM  1000     25466   19.00    2.00    0.00    0.00   21.00     0  nodelet
04:50:23 PM  1000     25466   19.00    2.00    0.00    0.00   21.00     2  nodelet
04:50:24 PM  1000     25466   21.00    3.00    0.00    0.00   24.00     0  nodelet
04:50:25 PM  1000     25466   23.00    3.00    0.00    0.00   26.00     0  nodelet
04:50:26 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     0  nodelet
04:50:27 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     1  nodelet
04:50:28 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     1  nodelet
04:50:29 PM  1000     25466   19.00    1.00    0.00    0.00   20.00     2  nodelet
04:50:30 PM  1000     25466   17.00    4.00    0.00    0.00   21.00     1  nodelet
04:50:31 PM  1000     25466   20.00    2.00    0.00    0.00   22.00     1  nodelet
04:50:32 PM  1000     25466   22.00    1.00    0.00    0.00   23.00     2  nodelet
04:50:33 PM  1000     25466   17.00    3.00    0.00    0.00   20.00     0  nodelet
04:50:34 PM  1000     25466   20.00    4.00    0.00    0.00   24.00     1  nodelet
04:50:35 PM  1000     25466   20.00    2.00    0.00    0.00   22.00     2  nodelet
04:50:36 PM  1000     25466   19.00    2.00    0.00    0.00   21.00     2  nodelet
04:50:37 PM  1000     25466   22.00    2.00    0.00    0.00   24.00     1  nodelet
04:50:38 PM  1000     25466   20.00    3.00    0.00    0.00   23.00     2  nodelet
04:50:39 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     0  nodelet
04:50:40 PM  1000     25466   18.00    4.00    0.00    0.00   22.00     0  nodelet
04:50:41 PM  1000     25466   22.00    2.00    0.00    0.00   24.00     1  nodelet
04:50:42 PM  1000     25466   21.00    2.00    0.00    0.00   23.00     0  nodelet
04:50:43 PM  1000     25466   18.00    3.00    0.00    0.00   21.00     2  nodelet
04:50:44 PM  1000     25466   19.00    2.00    0.00    0.00   21.00     2  nodelet
04:50:45 PM  1000     25466   21.00    0.00    0.00    0.00   21.00     2  nodelet
04:50:46 PM  1000     25466   18.00    1.00    0.00    0.00   19.00     2  nodelet
04:50:47 PM  1000     25466   17.00    4.00    0.00    0.00   21.00     3  nodelet
04:50:48 PM  1000     25466   18.00    5.00    0.00    0.00   23.00     1  nodelet
04:50:49 PM  1000     25466   20.00    3.00    0.00    0.00   23.00     3  nodelet
04:50:50 PM  1000     25466   20.00    2.00    0.00    0.00   22.00     3  nodelet
04:50:51 PM  1000     25466   20.00    1.00    0.00    0.00   21.00     3  nodelet
04:50:52 PM  1000     25466   24.00    1.00    0.00    0.00   25.00     3  nodelet
04:50:53 PM  1000     25466   22.00    3.00    0.00    0.00   25.00     3  nodelet
04:50:54 PM  1000     25466   16.00    5.00    0.00    0.00   21.00     0  nodelet
04:50:55 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     0  nodelet
04:50:56 PM  1000     25466   17.00    5.00    0.00    0.00   22.00     0  nodelet
04:50:57 PM  1000     25466   18.00    4.00    0.00    0.00   22.00     2  nodelet
04:50:58 PM  1000     25466   20.00    3.00    0.00    0.00   23.00     0  nodelet
04:50:59 PM  1000     25466   22.00    2.00    0.00    0.00   24.00     2  nodelet
04:51:00 PM  1000     25466   19.00    3.00    0.00    0.00   22.00     2  nodelet
04:51:01 PM  1000     25466   18.00    3.00    0.00    0.00   21.00     0  nodelet
04:51:02 PM  1000     25466   18.00    3.00    0.00    0.00   21.00     1  nodelet
04:51:03 PM  1000     25466   20.00    4.00    0.00    0.00   24.00     2  nodelet
04:51:04 PM  1000     25466   22.00    1.00    0.00    0.00   23.00     0  nodelet
04:51:05 PM  1000     25466   21.00    2.00    0.00    0.00   23.00     2  nodelet
04:51:06 PM  1000     25466   23.00    3.00    0.00    0.00   26.00     1  nodelet
04:51:07 PM  1000     25466   23.00    3.00    0.00    0.00   26.00     2  nodelet
04:51:08 PM  1000     25466   24.00    3.00    0.00    0.00   27.00     1  nodelet
04:51:09 PM  1000     25466   25.00    2.00    0.00    0.00   27.00     2  nodelet
04:51:10 PM  1000     25466   28.00    2.00    0.00    0.00   30.00     2  nodelet
04:51:11 PM  1000     25466   31.00    3.00    0.00    0.00   34.00     0  nodelet
04:51:12 PM  1000     25466    5.00    0.00    0.00    0.00    5.00     3  nodelet
04:51:13 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     3  nodelet
04:51:14 PM  1000     25466    0.00    0.00    0.00    0.00    0.00     0  nodelet

Average:     1000     25466   19.29    2.55    0.00    0.00   21.84     -  nodelet
